\rules only table

|(Position) |name |invocations |avgTime |totalTime |percentTime |
|140 |filter: [all[shadows+tiddlers]tag[$:/tags/ControlPanel/Appearance]!has[draft.of]] |16 |0 |0 |0 |
|141 |filter: [all[current]field:title{$:/theme}] [[$:/theme]!has[text]addsuffix[s/tiddlywiki/vanilla]field:title<currentTiddler>] +[limit[1]] |27 |0 |0 |0 |
|142 |filter: [all[shadows+tiddlers]tag[$:/tags/ControlPanel/Saving]!has[draft.of]] |14 |0 |0 |0 |
|143 |filter: [!has[draft.of]plugin-type[plugin]] |2 |0 |0 |0 |
|144 |filter: [!has[draft.of]plugin-type[theme]] |2 |0 |0 |0 |
|145 |filter:  [<currentTiddler>get[name]] ~[<currentTiddler>split[/]last[1]]  |14 |0 |0 |0 |
|146 |filter: [all[shadows+tiddlers]tag[$:/tags/ControlPanel/Advanced]!has[draft.of]] |12 |0 |0 |0 |
|147 |filter: [all[shadows+tiddlers]prefix[$:/config/EditorTypeMappings/]sort[title]] |1 |0 |0 |0 |
|148 |filter: [all[current]removeprefix[$:/config/EditorTypeMappings/]] |9 |0 |0 |0 |
|149 |filter: [moduletypes[]] |1 |0 |0 |0 |
|150 |filter: [wikiparserrules[pragma]] |1 |0 |0 |0 |
|151 |filter: [wikiparserrules[inline]] |1 |0 |0 |0 |
|152 |filter: [wikiparserrules[block]] |1 |0 |0 |0 |
|153 |filter:  [<state>addsuffix<currentTiddler>]  |9 |0 |0 |0 |
|154 |filter: [all[current]prefix{$:/palette}] |18 |0 |0 |0 |
|155 |filter:  foreground background muted-foreground primary page-background tab-background tiddler-info-background |18 |0 |0 |0 |
|156 |filter: $:/core/macros/utils |14 |0 |0 |0 |
|157 |filter: [storyviews[]] |1 |0 |0 |0 |
|158 |filter: [<storyview>prefix{$:/view}] |3 |0 |0 |0 |
|159 |filter: [all[shadows+tiddlers]tag[$:/tags/ControlPanel/Toolbars]!has[draft.of]] |2 |0 |0 |0 |
|160 |filter: [<__tag__>tagging[]] |1 |0 |0 |0 |
|161 |filter: [all[tiddlers+shadows]tag[$:/tags/Layout]] [[$:/core/ui/PageTemplate]] +[!is[draft]sort[name]] |1 |0 |0 |0 |
|162 |filter: [{$:/layout}!has[text]] |1 |0 |0 |0 |
|163 |filter: [all[current]field:title[$:/core/ui/PageTemplate]] |1 |0 |0 |0 |
|164 |filter:  [<__prefix__>addsuffix<__chunk__>]  |29 |0 |0 |0 |
|165 |filter: [tag[Tutorials]!sort[modified]] |1 |0 |0 |0 |
|166 |filter: [tag[Examples]!sort[modified]] |1 |0 |0 |0 |
|167 |filter: [[TiddlyWiki Releases]] [[TiddlyDesktop Releases]] |50 |0 |0 |0 |
